Codigo Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month
ARM;0;0;0;0;1;2020;2020-1
AUT;0;0;0;0;1;2020;2020-1
AZE;0;0;0;0;1;2020;2020-1
BEL;0;0;0;0;1;2020;2020-1
BGR;0;0;0;0;1;2020;2020-1
BLR;0;0;0;0;1;2020;2020-1
CHE;0;0;0;0;1;2020;2020-1
CYP;0;0;0;0;1;2020;2020-1
CZE;0;0;0;0;1;2020;2020-1
DEU;0;0;1;2;1;2020;2020-1
DNK;0;0;35;45;1;2020;2020-1
ESP;0;0;3;3;1;2020;2020-1
EST;0;0;0;0;1;2020;2020-1
FIN;0;0;0;0;1;2020;2020-1
FRA;0;0;3;3;1;2020;2020-1
GBR;0;0;1;1;1;2020;2020-1
GEO;0;0;0;0;1;2020;2020-1
GRC;0;0;0;0;1;2020;2020-1
HRV;0;0;0;0;1;2020;2020-1
HUN;0;0;0;0;1;2020;2020-1
IRL;0;0;0;0;1;2020;2020-1
ISL;0;0;0;0;1;2020;2020-1
ITA;0;0;0;0;1;2020;2020-1
LIE;0;0;0;0;1;2020;2020-1
LTU;0;0;0;0;1;2020;2020-1
LUX;0;0;0;0;1;2020;2020-1
LVA;0;0;0;0;1;2020;2020-1
MCO;0;0;0;0;1;2020;2020-1
MKD;0;0;0;0;1;2020;2020-1
MLT;0;0;0;0;1;2020;2020-1
NLD;0;0;0;0;1;2020;2020-1
NOR;0;0;0;0;1;2020;2020-1
POL;0;0;0;0;1;2020;2020-1
PRT;0;0;0;0;1;2020;2020-1
ROU;0;0;0;0;1;2020;2020-1
RUS;0;0;0;0;1;2020;2020-1
SMR;0;0;0;0;1;2020;2020-1
SVK;0;0;0;0;1;2020;2020-1
SVN;0;0;0;0;1;2020;2020-1
SWE;0;0;0;0;1;2020;2020-1
ARM;0;0;0;0;2;2020;2020-2
AUT;0;0;0;0;2;2020;2020-2
AZE;0;0;0;0;2;2020;2020-2
BEL;0;0;3;3;2;2020;2020-2
BGR;0;0;0;0;2;2020;2020-2
BLR;0;0;0;0;2;2020;2020-2
CHE;0;0;0;0;2;2020;2020-2
CYP;0;0;0;0;2;2020;2020-2
CZE;0;0;0;0;2;2020;2020-2
DEU;0;0;29;31;2;2020;2020-2
DNK;0;0;50;95;2;2020;2020-2
ESP;1;1;16;19;2;2020;2020-2
EST;0;0;0;0;2;2020;2020-2
FIN;0;0;1;1;2;2020;2020-2
FRA;1;1;13;16;2;2020;2020-2
GBR;0;0;14;15;2;2020;2020-2
GEO;0;0;0;0;2;2020;2020-2
GRC;0;0;0;0;2;2020;2020-2
HRV;0;0;0;0;2;2020;2020-2
HUN;0;0;0;0;2;2020;2020-2
IRL;0;0;0;0;2;2020;2020-2
ISL;0;0;15;15;2;2020;2020-2
ITA;3;3;178;178;2;2020;2020-2
LIE;0;0;0;0;2;2020;2020-2
LTU;0;0;0;0;2;2020;2020-2
LUX;0;0;0;0;2;2020;2020-2
LVA;0;0;0;0;2;2020;2020-2
MCO;0;0;0;0;2;2020;2020-2
MKD;0;0;0;0;2;2020;2020-2
MLT;0;0;0;0;2;2020;2020-2
NLD;0;0;0;0;2;2020;2020-2
NOR;0;0;1;1;2;2020;2020-2
POL;0;0;0;0;2;2020;2020-2
PRT;0;0;1;1;2;2020;2020-2
ROU;0;0;0;0;2;2020;2020-2
RUS;0;0;2;2;2;2020;2020-2
SMR;0;0;0;0;2;2020;2020-2
SVK;0;0;0;0;2;2020;2020-2
SVN;0;0;0;0;2;2020;2020-2
SWE;0;0;0;0;2;2020;2020-2
ALB;10;10;210;212;3;2020;2020-3
AND;6;6;329;334;3;2020;2020-3
ARM;3;3;482;482;3;2020;2020-3
AUT;134;134;9196;9196;3;2020;2020-3
AZE;4;4;209;209;3;2020;2020-3
BEL;978;978;15481;15484;3;2020;2020-3
BGR;8;8;346;346;3;2020;2020-3
BIH;9;9;334;352;3;2020;2020-3
BLR;0;0;94;94;3;2020;2020-3
CHE;257;257;14274;14274;3;2020;2020-3
CYP;9;9;289;289;3;2020;2020-3
CZE;23;23;2826;2826;3;2020;2020-3
DEU;712;712;63864;63895;3;2020;2020-3
DNK;84;84;2686;2781;3;2020;2020-3
ESP;8576;8577;108919;108938;3;2020;2020-3
EST;73;73;5955;5955;3;2020;2020-3
FIN;13;13;1455;1456;3;2020;2020-3
FRA;2715;2716;40162;40178;3;2020;2020-3
FRO;0;0;156;159;3;2020;2020-3
GBR;3179;3179;29356;29371;3;2020;2020-3
GEO;0;0;90;90;3;2020;2020-3
GGY;0;0;28;45;3;2020;2020-3
GIB;0;0;50;65;3;2020;2020-3
GRC;42;42;1324;1324;3;2020;2020-3
HRV;5;5;650;650;3;2020;2020-3
HUN;15;15;444;444;3;2020;2020-3
IMN;0;0;40;42;3;2020;2020-3
IRL;77;77;2640;2640;3;2020;2020-3
ISL;2;2;1147;1162;3;2020;2020-3
ITA;13627;13630;104807;104985;3;2020;2020-3
JEY;2;2;48;63;3;2020;2020-3
LIE;0;0;65;65;3;2020;2020-3
LTU;18;18;0;0;3;2020;2020-3
LUX;17;17;1839;1839;3;2020;2020-3
LVA;0;0;347;347;3;2020;2020-3
MCO;0;0;35;35;3;2020;2020-3
MDA;2;2;240;263;3;2020;2020-3
MKD;6;6;259;259;3;2020;2020-3
MLT;0;0;148;148;3;2020;2020-3
MNE;1;1;64;85;3;2020;2020-3
NLD;1077;1077;10742;10742;3;2020;2020-3
