 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate;inmigracion
Armenia;0;0;0;0;1;2020;2020-1;;
Austria;0;0;0;0;1;2020;2020-1;1.4;103.565
Azerbaijan;0;0;0;0;1;2020;2020-1;;
Belarus;0;0;0;0;1;2020;2020-1;;
Belgium;0;0;0;0;1;2020;2020-1;0.4;118.683
Bulgaria;0;0;0;0;1;2020;2020-1;1.2;37.364
Croatia;0;0;0;0;1;2020;2020-1;0.0;33.414
Cyprus;0;0;0;0;1;2020;2020-1;-1.1;25.861
Czechia;0;0;0;0;1;2020;2020-1;3.3;63.095
Denmark;0;0;35;45;1;2020;2020-1;0.3;57.230
Estonia;0;0;0;0;1;2020;2020-1;-0.6;16.209
Finland;0;0;0;0;1;2020;2020-1;0.4;32.898
France;0;0;3;3;1;2020;2020-1;0.5;283.237
Georgia;0;0;0;0;1;2020;2020-1;;
Germany;0;0;1;2;1;2020;2020-1;0.4;728.606
Greece;0;0;0;0;1;2020;2020-1;-1.3;84.221
Hungary;0;0;0;0;1;2020;2020-1;3.4;75.470
Iceland;0;0;0;0;1;2020;2020-1;1.2;8.544
Ireland;0;0;0;0;1;2020;2020-1;-0.5;74.211
Italy;0;0;0;0;1;2020;2020-1;-0.1;247.526
Latvia;0;0;0;0;1;2020;2020-1;0.1;8.840
Liechtenstein;0;0;0;0;1;2020;2020-1;;713
Lithuania;0;0;0;0;1;2020;2020-1;1.1;43.096
Luxembourg;0;0;0;0;1;2020;2020-1;0.0;22.490
Malta;0;0;0;0;1;2020;2020-1;0.8;13.885
Monaco;0;0;0;0;1;2020;2020-1;;
Netherlands;0;0;0;0;1;2020;2020-1;1.1;182.244
North Macedonia;0;0;0;0;1;2020;2020-1;1.2;2.555
Norway;0;0;0;0;1;2020;2020-1;1.2;
Poland;0;0;0;0;1;2020;2020-1;3.7;210.615
Portugal;0;0;0;0;1;2020;2020-1;-0.1;67.160
Romania;0;0;0;0;1;2020;2020-1;2.3;145.519
Russia;0;0;0;0;1;2020;2020-1;;
San Marino;0;0;0;0;1;2020;2020-1;;
Slovakia;0;0;0;0;1;2020;2020-1;2.0;6.775
Slovenia;0;0;0;0;1;2020;2020-1;-0.3;36.110
Spain;0;0;3;3;1;2020;2020-1;-0.3;467.918
Sweden;0;0;0;0;1;2020;2020-1;0.7;82.518
Switzerland;0;0;0;0;1;2020;2020-1;-0.8;138.778
United Kingdom;0;0;1;1;1;2020;2020-1;0.8;
Armenia;0;0;0;0;2;2020;2020-2;;
Austria;0;0;0;0;2;2020;2020-2;1.4;
Azerbaijan;0;0;0;0;2;2020;2020-2;;
Belarus;0;0;0;0;2;2020;2020-2;;
Belgium;0;0;3;3;2;2020;2020-2;0.4;
Bulgaria;0;0;0;0;2;2020;2020-2;1.2;
Croatia;0;0;0;0;2;2020;2020-2;0.0;
Cyprus;0;0;0;0;2;2020;2020-2;-1.1;
Czechia;0;0;0;0;2;2020;2020-2;3.3;
Denmark;0;0;50;95;2;2020;2020-2;0.3;
Estonia;0;0;0;0;2;2020;2020-2;-0.6;
Finland;0;0;1;1;2;2020;2020-2;0.4;
France;1;1;13;16;2;2020;2020-2;0.5;
Georgia;0;0;0;0;2;2020;2020-2;;
Germany;0;0;29;31;2;2020;2020-2;0.4;
Greece;0;0;0;0;2;2020;2020-2;-1.3;
Hungary;0;0;0;0;2;2020;2020-2;3.4;
Iceland;0;0;15;15;2;2020;2020-2;1.2;
Ireland;0;0;0;0;2;2020;2020-2;-0.5;
Italy;3;3;178;178;2;2020;2020-2;-0.1;
Latvia;0;0;0;0;2;2020;2020-2;0.1;
Liechtenstein;0;0;0;0;2;2020;2020-2;;
Lithuania;0;0;0;0;2;2020;2020-2;1.1;
Luxembourg;0;0;0;0;2;2020;2020-2;0.0;
Malta;0;0;0;0;2;2020;2020-2;0.8;
Monaco;0;0;0;0;2;2020;2020-2;;
Netherlands;0;0;0;0;2;2020;2020-2;1.1;
North Macedonia;0;0;0;0;2;2020;2020-2;1.2;
Norway;0;0;1;1;2;2020;2020-2;1.2;
Poland;0;0;0;0;2;2020;2020-2;3.7;
