Pais;deaths year;deaths cumulative year;Cases year;cases cumulative year;Inflation Rate;year
Austria;6519;6519;365776;365776;1.4;2020
Belgium;16827;9323;261257;202880;0.4;2020
Bulgaria;1356;1451;159919;199962;1.2;2020
Croatia;5685;7238;431120;459660;0;2020
Cyprus;170;170;24534;24534;-1.1;2020
Czechia;12461;12461;747132;747132;3.3;2020
Denmark;35386;43982;1613578;1783652;0.3;2020
Estonia;935;983;123975;128833;-0.6;2020
Finland;501;323;34268;34740;0.4;2020
France;18856;18518;176266;146680;0.5;2020
Germany;8779;8779;182466;182034;0.4;2020
Greece;2795;2628;231941;229763;-1.3;2020
Hungary;5351;5002;142838;141912;3.4;2020
Iceland;3979;4072;212532;212951;1.2;2020
Ireland;11456;10562;349890;328812;-0.5;2020
Italy;34878;34214;316410;233468;-0.1;2020
Latvia;40;44;3579;2821;0.1;2020
Lithuania;2523;2523;146808;146808;1.1;2020
Luxembourg;461;461;45922;45922;0;2020
Malta;712;728;42046;42497;0.8;2020
Netherlands;6262;6051;58660;46196;1.1;2020
North Macedonia;813;689;51097;49195;1.2;2020
Norway;6351;12166;781932;819690;1.2;2020
Poland;1263;1063;66881;51535;3.7;2020
Portugal;29548;29179;1303998;1294873;-0.1;2020
Romania;7078;7223;398071;411325;2.3;2020
Serbia;263;243;13179;11412;1.8;2020
Slovakia;3116;3325;333957;343870;2;2020
Slovenia;4186;4107;271540;271566;-0.3;2020
Spain;32185;29171;371135;246647;-0.3;2020
Sweden;10085;10085;462659;462659;0.7;2020
Switzerland;18604;21488;2108749;2241912;-0.8;2020
Turkey;22686;18854;1214345;1074093;12.3;2020
United Kingdom;39533;38219;307324;256442;0.8;2020
Belgium;23339;30983;545304;748184;3.2;2021
Bulgaria;3948;5399;485500;685462;2.8;2021
Croatia;4289;11527;710308;1169968;2.7;2021
Cyprus;603;773;146824;171358;2.3;2021
Czechia;23933;36394;1737248;2484380;3.3;2021
Denmark;71912;115894;5440996;7224648;1.9;2021
Estonia;1702;2685;651397;780230;4.5;2021
France;1636;2287;246328;282554;2.1;2021
Germany;13;13;4115;4735;3.2;2021
Greece;10488;13116;680693;910456;0.6;2021
Hungary;16006;21008;1141543;1283455;5.2;2021
Iceland;8537;12609;507993;720944;3.7;2021
Ireland;28074;38636;933547;1262359;2.4;2021
Italy;3523;5609;664584;772491;1.9;2021
Latvia;43;87;13666;16487;3.2;2021
Lithuania;5586;8109;419746;566554;4.6;2021
Luxembourg;521;982;63333;109255;3.5;2021
Malta;4159;4887;234522;277019;0.7;2021
Netherlands;259;479;41165;54244;2.8;2021
North Macedonia;1686;2375;111800;160995;3.4;2021
Norway;8926;21092;2344897;3164587;3.9;2021
Poland;869;1305;352810;404345;5.2;2021
Portugal;68795;97974;2810740;4105613;0.9;2021
Romania;11776;18999;1026498;1437823;4.1;2021
Serbia;34;96;4667;7160;4;2021
Slovakia;9076;12401;938591;1282461;2.8;2021
Slovenia;13509;17616;966085;1237651;2;2021
Spain;3023;6150;341675;467636;3;2021
Sweden;5288;15373;884938;1347597;2.7;2021
Switzerland;58756;80244;6912297;9154209;0.5;2021
Turkey;74408;93262;2536594;3610687;19.6;2021
